customer_id,gender,age,name
C315209,Male,56,
C323605,Female,58,
C282395,Female,40,
C109491,Female,38,
C261194,Female,40,
C232330,Male,64,
C737782,Male,28,
C123201,Male,49,
C230641,Male,51,
C805154,Male,22,
C330021,Female,67,
C107668,Female,22,
C209722,Female,26,
C210614,Female,42,
C212378,Female,45,
C313586,Female,43,
C292604,Female,35,
C216257,Male,49,
C272779,Female,49,
C100507,Male,33,
C190072,Female,65,
C111827,Male,40,
C203955,Male,68,
C680169,Female,26,
C281091,Male,38,
C209122,Female,56,
C231964,Male,19,
C291641,Female,18,
C315386,Male,55,
C290158,Female,53,
C226218,Female,69,
C633946,Male,27,
C118742,Female,36,
C218295,Female,61,
C636874,Female,43,
C310472,Female,51,
C119440,Male,38,
C230305,Male,34,
C197131,Male,23,
C278721,Male,56,
C247868,Male,60,
C834257,Female,59,
C242041,Male,43,
C892871,Male,55,
C280596,Male,40,
C703073,Female,43,
C282097,Male,59,
C179726,Male,24,
C838282,Female,63,
C181939,Male,31,
C755148,Female,69,
C282107,Female,36,
C102560,Female,54,
C229670,Male,22,
C269986,Male,39,
C191300,Male,26,
C167158,Male,44,
C318225,Female,35,
C101108,Female,66,
C103073,Male,61,
C299787,Female,30,
C555827,Male,55,
C992695,Female,22,
C178176,Female,51,
C211245,Male,53,
C139231,Female,54,
C339339,Male,34,
C321993,Female,49,
C226519,Female,41,
C715684,Female,34,
C328195,Female,59,
C284366,Female,20,
C354398,Female,23,
C317063,Female,25,
C156360,Female,63,
C474896,Male,68,
C140082,Male,58,
C240510,Male,58,
C292758,Male,47,
C222262,Female,22,
C130016,Female,51,
C305749,Male,56,
C316261,Male,33,
C178487,Male,27,
C205731,Male,50,
C171122,Female,49,
C266021,Female,52,
C576719,Male,54,
C254022,Male,19,
C121489,Female,49,
C211545,Female,44,
C245349,Male,69,
C644605,Female,41,
C293936,Female,25,
C387282,Female,51,
C405837,Female,53,
C193298,Female,20,
C363987,Male,62,
C995929,Female,30,
C236969,Female,47,
C145797,Male,40,
C241450,Female,35,
C196296,Female,41,
C306908,Female,48,
C141984,Male,26,
C720642,Female,27,
C270638,Female,26,
C858536,Female,65,
C289573,Female,25,
C122094,Female,19,
C162986,Male,21,
C271881,Female,61,
C214260,Female,65,
C209210,Female,23,
C296477,Male,42,
C134069,Male,33,
C241442,Female,54,
C312418,Female,67,
C127004,Female,41,
C198868,Female,57,
C173860,Female,35,
C186098,Male,62,
C285261,Male,26,
C214662,Male,48,
C163444,Female,57,
C533520,Female,53,
C339565,Male,58,
C202977,Female,32,
C237063,Female,23,
C108497,Female,49,
C219299,Female,26,
C247547,Female,62,
C190917,Male,30,
C337220,Female,28,
C217919,Female,65,
C112544,Female,56,
C168912,Female,40,
C279747,Male,55,
C249401,Female,61,
C128618,Female,35,
C182105,Female,37,
C331127,Male,32,
C286564,Female,68,
C188064,Female,44,
C293329,Female,61,
C113739,Male,38,
C836254,Female,66,
C245894,Female,53,
C144894,Female,21,
C190794,Male,61,
C142508,Female,32,
C135555,Female,46,
C501563,Male,25,
C152590,Female,49,
C772839,Female,26,
C623421,Female,40,
C222949,Female,20,
C133451,Female,38,
C195342,Female,63,
C336400,Male,25,
C175833,Female,19,
C246602,Female,53,
C329003,Female,51,
C270340,Male,56,
C330141,Male,29,
C121707,Female,20,
C112452,Female,35,
C269710,Female,62,
C297610,Female,32,
C319935,Male,48,
C785507,Male,43,
C217834,Female,57,
C709370,Male,33,
C216369,Female,49,
C322689,Female,29,
C146203,Female,43,
C611809,Female,36,
C210236,Female,59,
C297118,Female,31,
C180586,Female,51,
C314705,Male,27,
C272419,Female,62,
C282520,Male,44,
C319624,Female,18,
C264687,Female,52,
C140543,Male,60,
C339391,Female,34,
C285587,Male,47,
C137134,Female,58,
C103896,Female,51,
C315479,Female,32,
C181912,Female,23,
C335107,Female,38,
C121510,Male,63,
C477489,Female,50,
C331382,Male,64,
C554087,Male,51,
C226252,Male,21,
C227695,Female,20,
C246136,Male,34,
C170928,Female,26,
C200317,Female,19,
C192979,Female,47,
C198568,Male,47,
C251518,Female,56,
C215210,Male,42,
C271571,Male,49,
C303444,Female,51,
C506925,Female,41,
C294604,Male,27,
C190939,Female,61,
C129849,Female,38,
C235178,Male,42,
C267843,Male,58,
C186861,Female,57,
C219983,Male,23,
C250033,Female,62,
C506663,Male,31,
C235482,Female,54,
C781893,Male,19,
C328444,Male,68,
C307592,Male,44,
C541983,Female,44,
C283381,Female,29,
C301099,Female,67,
C246641,Female,28,
C312617,Female,34,
C204164,Male,45,
C259798,Female,55,
C215336,Female,69,
C339648,Male,30,
C290275,Female,38,
C230120,Male,39,
C478733,Female,63,
C201255,Male,49,
C289918,Female,66,
C937123,Female,68,
C322924,Male,18,
C690345,Female,42,
C247049,Female,54,
C280253,Male,43,
C169477,Male,54,
C131819,Male,43,
C442324,Male,44,
C114347,Male,36,
C216456,Female,41,
C152833,Female,45,
C171160,Female,41,
C259884,Male,58,
C114606,Female,34,
C216025,Female,67,
C884264,Male,60,
C697667,Female,31,
C136585,Female,52,
C146582,Male,25,
C129039,Female,22,
C183846,Female,34,
C297404,Male,30,
C127819,Female,25,
C127718,Female,48,
C230543,Male,30,
C302358,Female,30,
C105060,Female,36,
C182606,Female,52,
C295864,Male,33,
C323307,Male,69,
C104350,Female,46,
C282281,Female,65,
C506887,Male,27,
C528686,Female,42,
C157218,Female,56,
C172691,Female,68,
C330221,Male,64,
C336104,Male,59,
C807852,Female,68,
C128312,Male,25,
C150950,Female,40,
C305706,Female,18,
C310310,Male,56,
C414958,Female,36,
C296534,Female,30,
C234534,Female,52,
C247694,Female,24,
C141657,Female,30,
C156233,Female,45,
C354331,Male,29,
C131221,Male,24,
C123445,Female,46,
C207443,Female,65,
C137762,Female,26,
C152904,Female,58,
C216194,Female,45,
C207415,Male,43,
C621747,Female,25,
C621794,Female,53,
C218289,Female,63,
C235878,Female,37,
C251446,Female,68,
C708005,Female,67,
C323349,Female,29,
C180375,Female,55,
C254007,Male,30,
C908169,Female,57,
C587022,Male,33,
C485257,Female,54,
C196813,Female,66,
C242182,Male,56,
C331182,Male,30,
C206713,Female,19,
C376889,Female,22,
C333202,Male,29,
C147456,Male,44,
C221830,Female,38,
C634747,Female,32,
C108986,Female,58,
C205202,Female,55,
C160680,Female,64,
C805973,Female,45,
C246456,Female,65,
C293191,Female,54,
C248510,Male,58,
C102849,Female,40,
C732384,Male,24,
C121299,Female,60,
C103741,Female,60,
C660491,Male,66,
C323696,Male,59,
C274788,Male,69,
C158968,Female,47,
C289495,Male,39,
C646756,Female,54,
C193824,Female,67,
C226996,Male,30,
C276008,Female,27,
C282899,Female,52,
C323659,Female,57,
C158270,Male,52,
C170969,Male,20,
C170219,Female,52,
C111026,Female,67,
C760307,Female,20,
C183888,Female,64,
C144823,Female,20,
C211277,Female,60,
C204782,Female,36,
C184882,Female,29,
C228532,Female,45,
C315826,Female,18,
C339071,Female,54,
C219304,Male,45,
C192474,Female,59,
C398415,Female,49,
C391672,Male,61,
C275887,Female,28,
C198086,Female,36,
C822515,Female,69,
C871318,Female,27,
C199664,Female,30,
C820137,Male,67,
C521673,Male,66,
C149637,Female,52,
C743273,Male,69,
C130273,Female,63,
C240389,Female,20,
C470346,Female,23,
C423734,Male,47,
C139077,Male,43,
C842431,Male,55,
C102301,Male,25,
C222159,Female,62,
C204727,Female,23,
C325158,Female,48,
C649525,Male,64,
C283221,Female,50,
C153509,Female,42,
C290548,Male,43,
C133134,Female,25,
C245539,Male,66,
C110711,Female,41,
C141093,Female,37,
C299644,Female,43,
C141285,Female,19,
C120095,Female,64,
C130462,Female,39,
C116092,Female,21,
C152098,Male,51,
C766767,Male,67,
C322195,Male,54,
C114713,Female,21,
C189364,Male,29,
C150584,Female,32,
C275695,Female,55,
C614595,Male,24,
C300832,Male,37,
C241238,Female,53,
C182162,Female,43,
C328169,Female,39,
C121380,Female,37,
C788630,Female,58,
C143781,Male,28,
C285797,Male,45,
C174330,Female,21,
C430942,Female,39,
C270543,Male,23,
C102275,Male,41,
C841591,Female,26,
C162681,Male,51,
C716629,Male,49,
C512978,Male,45,
C289069,Male,33,
C812425,Female,53,
C200576,Female,32,
C155221,Male,40,
C251062,Male,60,
C335061,Female,37,
C283983,Female,56,
C315999,Female,55,
C987230,Male,68,
C921649,Female,54,
C327823,Female,56,
C203598,Male,27,
C224753,Female,41,
C270797,Male,59,
C249974,Male,62,
C132495,Male,32,
C304747,Male,47,
C266724,Female,42,
C494615,Male,33,
C252265,Male,66,
C319806,Female,55,
C219548,Female,24,
C184052,Female,64,
C206253,Female,27,
C249725,Female,62,
C224881,Female,68,
C321914,Female,62,
C209245,Male,36,
C130895,Male,64,
C207573,Male,22,
C257469,Female,26,
C795627,Female,37,
C194674,Female,47,
C774214,Female,40,
C120804,Female,58,
C156004,Male,32,
C596756,Female,36,
C251433,Female,56,
C288298,Female,41,
C148675,Female,34,
C270726,Female,37,
C105474,Female,55,
C829423,Female,25,
C111251,Female,50,
C269506,Male,66,
C127041,Male,52,
C870412,Female,24,
C108367,Male,52,
C191673,Male,43,
C979970,Male,41,
C324708,Female,28,
C289614,Male,31,
C103877,Female,41,
C264659,Male,21,
C108756,Female,45,
C253975,Female,41,
C773134,Male,42,
C433673,Male,50,
C271450,Female,42,
C327098,Female,25,
C132270,Female,39,
C193793,Male,23,
C320229,Male,67,
C275631,Female,42,
C462416,Female,63,
C245407,Male,53,
C269497,Male,32,
C190709,Male,43,
C291389,Female,22,
C593370,Male,30,
C303552,Female,20,
C747740,Female,40,
C791362,Male,61,
C132400,Male,44,
C677850,Female,55,
C263908,Female,54,
C205165,Male,23,
C290106,Female,61,
C174747,Male,37,
C191147,Female,43,
C249906,Male,33,
C129846,Male,18,
C155333,Female,30,
C272155,Female,68,
C266213,Male,34,
C622685,Female,34,
C832010,Female,59,
C288597,Female,22,
C259229,Female,30,
C724217,Female,50,
C913425,Female,68,
C255828,Female,49,
C219791,Male,38,
C981925,Male,51,
C237757,Male,44,
C238083,Male,64,
C306266,Female,31,
C199858,Female,34,
C179915,Male,40,
C307014,Female,58,
C280853,Male,56,
C106066,Female,57,
C257683,Female,38,
C364009,Female,55,
C325548,Female,23,
C606953,Male,66,
C920331,Male,27,
C140413,Female,58,
C323469,Female,32,
C336888,Male,57,
C148034,Male,43,
C724391,Female,56,
C180485,Female,40,
C323464,Female,60,
C326699,Male,41,
C632826,Male,41,
C196337,Female,54,
C258995,Female,42,
C246847,Male,56,
C282894,Female,32,
C125304,Male,59,
C496516,Female,50,
C831048,Male,23,
C208819,Male,50,
C804531,Female,55,
C237182,Male,62,
C131599,Female,32,
C191057,Male,37,
C195284,Female,63,
C800785,Female,18,
C236711,Female,22,
C118689,Male,51,
C194063,Female,52,
C210393,Male,30,
C261316,Male,32,
C177823,Female,46,
C748439,Male,31,
C245715,Female,30,
C220780,Male,24,
C126392,Male,25,
C149849,Female,25,
C168310,Female,31,
C126647,Female,54,
C278752,Female,57,
C111668,Male,25,
C119364,Female,44,
C158114,Female,43,
C195508,Male,18,
C317968,Female,57,
C809683,Female,25,
C228735,Female,50,
C278483,Male,49,
C158261,Male,21,
C102607,Male,38,
C808112,Male,65,
C145982,Female,32,
C325166,Female,47,
C266175,Female,53,
C213718,Male,34,
C184322,Female,61,
C478668,Female,19,
C331539,Female,61,
C193813,Male,33,
C716870,Female,53,
C168973,Male,68,
C297748,Male,37,
C678680,Male,69,
C119032,Female,40,
C134708,Female,67,
C100299,Female,22,
C214164,Female,34,
C299327,Female,34,
C333988,Female,56,
C110568,Male,26,
C132150,Female,69,
C224260,Female,67,
C314993,Male,61,
C183588,Female,26,
C211763,Male,63,
C246898,Female,51,
C281244,Male,60,
C288863,Female,26,
C582997,Male,34,
C240916,Female,25,
C108007,Male,49,
C104963,Male,69,
C286640,Male,66,
C156880,Male,23,
C129686,Female,18,
C864800,Male,24,
C223982,Female,39,
C158827,Female,50,
C253252,Male,52,
C592891,Male,56,
C287380,Female,41,
C897202,Female,21,
C618494,Male,42,
C228922,Female,50,
C101074,Female,53,
C242798,Female,32,
C293612,Female,60,
C299567,Male,34,
C352919,Female,24,
C152959,Female,44,
C104690,Female,32,
C285884,Female,42,
C257559,Male,23,
C261635,Male,33,
C316806,Male,64,
C272133,Female,69,
C112446,Male,30,
C666466,Female,66,
C116531,Female,68,
C171015,Female,48,
C480735,Male,52,
C290819,Female,39,
C202988,Female,29,
C306346,Female,48,
C127551,Male,50,
C794449,Male,28,
C335131,Male,64,
C289650,Female,36,
C230619,Male,64,
C832397,Female,54,
C277384,Female,31,
C296318,Male,49,
C813874,Female,51,
C291970,Male,37,
C524507,Male,52,
C230270,Female,64,
C307870,Female,65,
C294623,Female,53,
C205178,Male,30,
C264585,Male,52,
C145059,Male,32,
C158616,Male,40,
C955218,Female,53,
C710954,Male,39,
C947516,Female,56,
C305734,Female,19,
C539840,Male,19,
C251005,Female,67,
C136395,Female,59,
C898202,Male,63,
C320598,Male,68,
C339508,Male,23,
C334518,Female,47,
C307477,Female,25,
C238833,Male,22,
C135301,Female,60,
C993876,Female,38,
C512698,Male,59,
C618730,Male,20,
C187608,Female,62,
C955533,Female,56,
C195673,Female,41,
C327796,Female,39,
C524469,Female,47,
C105429,Female,55,
C304866,Female,30,
C304326,Male,34,
C773181,Female,53,
C467287,Female,24,
C339114,Male,61,
C299514,Female,32,
C163011,Female,51,
C120118,Male,55,
C157064,Female,49,
C670293,Female,26,
C210060,Female,56,
C254397,Male,60,
C287355,Male,43,
C175467,Female,69,
C109885,Male,49,
C119723,Female,55,
C838257,Male,63,
C846690,Male,36,
C185502,Female,28,
C176854,Male,45,
C184727,Male,67,
C551975,Female,46,
C310676,Female,59,
C107258,Female,65,
C845711,Female,34,
C709824,Female,68,
C339202,Female,50,
C162162,Male,30,
C108465,Male,35,
C682985,Male,54,
C309367,Male,20,
C218573,Female,58,
C175732,Male,31,
C103461,Female,29,
C249679,Male,47,
C178845,Female,18,
C177475,Female,20,
C267852,Female,50,
C194974,Male,47,
C128277,Male,48,
C502572,Male,35,
C337111,Female,50,
C243037,Female,41,
C334686,Female,27,
C265568,Female,64,
C335904,Male,42,
C119157,Female,22,
C559217,Female,64,
C280866,Male,59,
C574590,Female,53,
C919190,Male,29,
C185049,Female,30,
C295880,Female,50,
C245681,Female,42,
C316015,Male,23,
C111244,Female,41,
C716683,Male,29,
C201036,Female,59,
C136714,Female,34,
C310969,Female,22,
C750093,Male,34,
C521028,Female,69,
C311482,Male,61,
C122157,Female,44,
C369937,Female,64,
C228472,Female,40,
C209723,Male,58,
C160421,Male,23,
C162397,Male,36,
C940481,Female,64,
C314546,Female,60,
C271866,Male,39,
C164577,Male,65,
C240837,Male,66,
C159771,Male,52,
C126598,Male,33,
C882358,Male,63,
C189942,Female,23,
C187110,Female,27,
C388552,Female,22,
C110267,Male,23,
C176312,Male,38,
C863183,Male,57,
C294679,Male,21,
C539974,Female,33,
C317223,Male,34,
C208844,Male,69,
C130720,Male,66,
C256755,Female,46,
C222250,Male,36,
C461133,Female,64,
C200881,Male,53,
C164916,Male,66,
C143944,Female,19,
C184428,Female,55,
C229001,Male,50,
C197522,Male,39,
C299443,Male,64,
C151752,Male,22,
C582235,Female,49,
C128660,Female,45,
C212483,Male,52,
C523660,Male,42,
C432354,Male,55,
C183706,Male,63,
C211766,Female,32,
C271297,Female,49,
C307855,Female,24,
C130682,Female,37,
C105423,Female,41,
C193454,Female,39,
C170711,Male,19,
C399735,Female,59,
C330736,Female,68,
C200345,Female,52,
C101897,Female,60,
C106311,Male,39,
C334601,Female,26,
C294370,Female,33,
C189027,Male,57,
C278541,Female,52,
C274501,Female,26,
C221164,Male,63,
C260060,Female,33,
C295466,Male,55,
C145650,Female,26,
C787279,Female,67,
C279904,Male,64,
C382952,Male,18,
C223465,Female,57,
C373731,Female,40,
C224169,Male,46,
C276445,Male,21,
C194327,Female,48,
C232136,Male,24,
C186023,Male,69,
C336395,Female,45,
C183611,Female,59,
C425857,Male,43,
C935162,Female,47,
C858254,Male,33,
C284961,Male,69,
C216268,Male,57,
C257213,Female,46,
C241204,Male,48,
C182933,Male,30,
C261165,Female,18,
C876858,Male,49,
C215484,Female,43,
C313275,Female,34,
C334382,Female,39,
C123988,Male,20,
C271255,Male,68,
C176802,Female,49,
C327424,Male,58,
C235398,Female,26,
C892096,Male,24,
C321209,Male,61,
C166181,Male,42,
C255639,Female,64,
C207215,Male,30,
C133833,Female,69,
C176572,Female,38,
C172351,Male,30,
C104728,Female,18,
C232031,Female,58,
C210848,Male,35,
C298103,Female,31,
C431872,Male,26,
C485668,Male,22,
C144162,Male,28,
C182320,Female,29,
C142061,Male,38,
C235773,Female,51,
C325524,Female,55,
C214831,Female,47,
C119219,Female,68,
C761041,Female,57,
C269430,Male,30,
C116921,Female,53,
C721239,Female,67,
C507725,Female,27,
C133603,Female,63,
C855678,Female,35,
C297669,Male,62,
C324332,Female,20,
C239313,Male,34,
C485136,Male,56,
C866676,Male,22,
C336940,Female,61,
C190660,Male,54,
C986930,Female,63,
C738384,Male,25,
C144584,Female,47,
C283898,Female,44,
C237664,Female,54,
C273853,Female,62,
C807680,Male,48,
C832533,Male,58,
C201574,Male,31,
C292453,Male,53,
C121797,Male,55,
C111342,Male,46,
C135306,Male,20,
C295218,Female,58,
C193441,Male,49,
C526385,Male,63,
C172204,Male,42,
C457598,Female,40,
C247589,Male,28,
C198161,Female,68,
C118460,Female,23,
C121551,Male,28,
C119297,Male,40,
C301181,Female,18,
C106583,Female,56,
C803010,Male,38,
C195405,Female,22,
C765432,Female,63,
C105743,Female,51,
C261344,Female,45,
C304389,Female,27,
C184300,Male,51,
C119894,Female,23,
C329000,Female,29,
C309515,Female,48,
C123711,Male,19,
C193264,Male,30,
C537541,Female,32,
C478916,Male,49,
C131842,Female,31,
C316343,Female,39,
C331387,Male,20,
C292307,Female,51,
C224991,Male,52,
C244694,Female,60,
C925796,Female,21,
C327954,Female,28,
C323574,Female,58,
C136014,Male,49,
C240325,Female,41,
C213981,Female,36,
